confidence,file_name,transcript
0.6370474100112915,sample786-25818-20200501-0442.wav,Thursday
0.764874279499054,sample116-25818-20200501-0941.wav,returning from the second alarm to go off in fact about
0.6924219131469727,sample92-25818-20200501-0941.wav,having a t show jokes to 19219 South Street
0.6430817246437073,sample635-25818-20200501-1439.wav,but I'm trying to we went through a window we found a party took social housing waiting for the window
0.6099497079849243,sample697-25818-20200501-0243.wav,407
0.9128386378288269,sample167-25818-20200501-1040.wav,all right
0.7529844641685486,sample271-25818-20200501-1509.wav,take any chance go ahead
0.7116595506668091,sample1243-25818-20200501-1310.wav,today
0.7876013517379761,sample396-25818-20200501-1140.wav,CMS said that they were told by somebody up here that they were up and they walked off and went downstairs that needs to be fine at least jumped on
0.7223372459411621,sample217-25818-20200501-0612.wav,for calling Broadway
0.6597369313240051,sample52-25818-20200501-1240.wav,495 North despite a 13 sat on the 1st and 2nd traveling
0.7701449990272522,sample851-25818-20200501-0044.wav,we'll see what time did you see them on Broad Street 3 a.m. I have that thank you
0.7502813339233398,sample611-25818-20200501-0313.wav,for what
0.837799608707428,sample611-25818-20200501-0313.wav, callback
0.798531711101532,sample1022-25818-20200501-0343.wav,all right
0.6437183618545532,sample159-25818-20200501-1040.wav,for the people
0.8109495639801025,sample159-25818-20200501-1040.wav, cancel
0.516787052154541,sample1035-25818-20200501-1110.wav,killer Tennessee Tech
0.8174517750740051,sample1035-25818-20200501-1110.wav, yes
0.7267493605613708,sample1232-25818-20200501-1310.wav,"Island, 47th Street. Our address is 7173 Highland, 373 Highland Avenue"
0.5908241271972656,sample463-25818-20200501-0841.wav,Charlie 421 else
0.6333763599395752,sample1097-25818-20200501-0811.wav,Thursday
0.6648723483085632,sample412-25818-20200501-1140.wav,not having spring for something else I'll
0.6528388857841492,sample882-25818-20200501-0044.wav,13
0.7114676237106323,sample882-25818-20200501-0044.wav, please request at 2525 Rockdale Circle
0.6490858793258667,sample882-25818-20200501-0044.wav, 25
0.6894059181213379,sample755-25818-20200501-1210.wav,yeah she's on her way home by
0.6045708656311035,sample81-25818-20200501-1240.wav,sorry. Let me know if you self
0.8200197219848633,sample644-25818-20200501-1439.wav,that's cool is that $12 Street Hyde Park letter 28 for medical assistance $12 Street Hyde Park new Xbox 3831 River and Ellis Street 1417
0.5447339415550232,sample12-25818-20200501-0413.wav,7113 Oak Street 35414
