file_name,audio_length,transcribe_time,confidence,transcript
0,sample-1-25818-20200502-1017-8558.wav,8.6,3.0,0.7977433800697327,I think that says okay moral
1,sample-1-25818-20200502-1017-8558.wav,8.6,3.0,0.8122214674949646, what
2,sample-1-25818-20200502-1132-3508.wav,3.5,0.9,0.8285374641418457,yes
3,sample-1-25818-20200502-1152-12511.wav,12.5,7.7,0.6519635319709778,would it be possible for C9 to meet us at Saint Louis
4,sample-1-25818-20200502-1152-12511.wav,12.5,7.7,0.7350491881370544, sure.
5,sample-1-25818-20200502-1222-10678.wav,10.7,3.7,0.6400225758552551,passenger side floor mats and directions
6,sample-1-25818-20200502-1332-8714.wav,8.7,4.1,0.6908279657363892,I grew up in 2 minutes. We're going to record the bird food coming from apartment too proud of
7,sample-1-25818-20200502-1431-5575.wav,5.6,3.1,0.6603918671607971,on the couch stop reading his wife was just with him a few minutes ago went out
8,sample-1-25818-20200502-1501-25250.wav,25.2,19.7,0.8618696928024292,medic 4-inch and three medic for response number 8921 Road can be for a fall called in by Lifeline check your brakes for medical info in lock box itself off engine 3 minutes for a response about eighty ninety one road for a phone call that my lifeline check your brakes box 735 Commonwealth Ave and Grant County started
9,sample-1-25818-20200502-1601-6118.wav,6.1,4.2,0.5998139977455139,what you do that again
10,sample-1-25818-20200502-1631-15690.wav,15.7,8.9,0.7347991466522217,was checking that address to get back to me that's what the vehicle comes back 175
11,sample-1-25818-20200502-1730-11483.wav,11.5,6.8,0.7620207667350769,just check on car doing donuts in the parking lot 500 deposit up the parking lot of the Planet Fitness
12,sample-1-25818-20200502-1730-11483.wav,11.5,6.8,0.7853555679321289, and for when
13,sample-1-25818-20200502-1800-4756.wav,4.8,3.4,0.7330189347267151,Northbound on the farm this coming out of the highway
14,sample-1-25818-20200502-1830-5330.wav,5.3,2.9,0.6708821654319763,2153 Charlotte and Catawba Street 1758
15,sample-1-25818-20200502-1900-4590.wav,4.6,2.5,0.8068879842758179,from a job
16,sample-1-25818-20200502-1900-4590.wav,4.6,2.5,0.6657659411430359, 37
17,sample-1-25818-20200502-1930-9365.wav,9.4,5.7,0.6060486435890198,like traveling to have the Jackson Circle 85 year old female cardiac arrest
18,sample-1-25818-20200502-2059-16399.wav,16.4,8.1,0.6996934413909912,the Traverse or disabled vehicle Huntington it should be a place with a lot of
19,sample-1-25818-20200502-2129-5196.wav,5.2,6.2,0.6438831090927124,okay. I'll keep me one.
20,sample-1-25818-20200502-2159-2807.wav,2.8,1.3,0.6653644442558289,0
21,sample-1-25818-20200502-2229-10524.wav,10.5,5.9,0.7438150644302368,she knows an allergic reaction Boylston herefords
22,sample-1-25818-20200502-2229-10524.wav,10.5,5.9,0.7016400098800659, Boylston and Harrison also for resources there
23,sample-1-25818-20200502-2229-10524.wav,10.5,5.9,0.7689118981361389, yes all set for now
24,sample-1-25818-20200502-2328-9369.wav,9.4,7.1,0.7754959464073181,I have medicine now we're still upfront to make our way back to the door the front doors locked up can't get it I'll try the second call hang on
25,sample-1-25818-20200502-2358-18319.wav,18.3,6.6,0.640055775642395,Thursday
26,sample-10-25818-20200502-1017-8716.wav,8.7,3.8,0.6493695974349976,no doubt no doubt that's all
27,sample-10-25818-20200502-1132-12406.wav,12.4,11.1,0.7112176418304443,apartment but then went off
28,sample-10-25818-20200502-1152-5345.wav,5.3,3.2,0.4644698202610016,and 3:23 to 11.
29,sample-10-25818-20200502-1222-6936.wav,6.9,2.6,0.7051742076873779,press four if you head down there for like
30,sample-10-25818-20200502-1222-6936.wav,6.9,2.6,0.7073502540588379, yeah
31,sample-10-25818-20200502-1332-2788.wav,2.8,3.2,0.7448346018791199,nothing's going off and universities
32,sample-10-25818-20200502-1431-2033.wav,2.0,0.8,0.7448419332504272,supposed to that or
33,sample-10-25818-20200502-1501-8811.wav,8.8,5.1,0.6676918268203735,ranges that direction 205-714-3622
34,sample-10-25818-20200502-1531-2770.wav,2.8,2.1,0.49529704451560974,we go down
35,sample-10-25818-20200502-1601-34333.wav,34.3,17.5,0.5901229977607727,toy five one zero one seven one currency exchange
36,sample-10-25818-20200502-1601-34333.wav,34.3,17.5,0.45536068081855774, 1946 West Town of eleven
37,sample-10-25818-20200502-1601-34333.wav,34.3,17.5,0.8308807611465454, Carol 2837 settings
38,sample-10-25818-20200502-1631-17389.wav,17.4,14.1,0.7276434898376465,cuz I know they said that before so solemn live secure here and updated them available they have to decide
39,sample-10-25818-20200502-1730-19748.wav,19.7,6.9,0.6362922787666321,okay thanks
40,sample-10-25818-20200502-1830-3715.wav,3.7,4.3,0.7275955677032471,I was on the road I just I just pulled them off that we can get that both supporting call
41,sample-10-25818-20200502-1930-20509.wav,20.5,13.2,0.7353197336196899,showcase try to 1:50 to be spotted
42,sample-10-25818-20200502-1930-20509.wav,20.5,13.2,0.7148253321647644, promo set up a little bit more of a description yeah five or six pounds and white black hoodies either Hispanic or black and it was a red vehicle and a blue vehicle unknown manual model unknown Direction and find there's two or three shots
43,sample-10-25818-20200502-2129-10138.wav,10.1,5.5,0.7307643890380859,oneself space from from this 1281
44,sample-10-25818-20200502-2129-10138.wav,10.1,5.5,0.7778730988502502, so I'm thinking okay we're driving by itself there right now
45,sample-10-25818-20200502-2159-5627.wav,5.6,3.7,0.7019367814064026,no that's just
46,sample-10-25818-20200502-2229-3642.wav,3.6,3.2,0.516997218132019,Nick's of Clinton
47,sample-10-25818-20200502-2258-5274.wav,5.3,3.9,0.49769169092178345,Sean and he said L Street
