confidence_interval,file_name,transcript
0.6598044633865356,Alexsample18-25818-20200501-0413.wav,s
0.6445850729942322,Alexsample17-25818-20200501-0413.wav,m r s a Highlander
0.750121533870697,Alexsample13-25818-20200501-0413.wav,set up and just o Hospital a o d a v a m / housing
0.6642780900001526,Alexsample10-25818-20200501-0413.wav,tensions r v a o m
0.6342900991439819,Alexsample14-25818-20200501-0413.wav,a transporter with a c r e
0.7462791800498962,Alexsample12-25818-20200501-0413.wav,7113 O Street E 350 for 14
0.622403621673584,Alexsample16-25818-20200501-0413.wav,c m s e n r a
0.6515985727310181,Alexsample16-25818-20200501-0413.wav, never notified c m s r. E s
0.6277123093605042,Alexsample16-25818-20200501-0413.wav, no problem a r o a high school
0.8300802707672119,Alexsample15-25818-20200501-0413.wav,Carlos a c m o to be outside in a motor vehicle
0.633836030960083,Alexsample11-25818-20200501-0413.wav,a m
